Date,Value,Category,SubCategory,Source
2000,387,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2002,375,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2003,336,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2004,296,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2005,259,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2006,262,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2007,305,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2008,313,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2009,332,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2010,341,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2011,341,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2012,338,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2013,344,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2014,371,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2015,440,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2016,452,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2017,448,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2018,446,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2019,431.3,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2020,306,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2021,248,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
2022,346,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Operated Kilometers-All Island,cbsl
