Date,Value,Category,SubCategory,Source
2000,19864,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2001,21204,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2002,20436,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2003,17446,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2004,14537,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2005,12670,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2006,12871,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2007,14694,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2008,15080,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2009,11233,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2010,11815,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2011,11907,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2012,11909,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2013,12201,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2014,12717,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2015,15210,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2016,16101,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2017,15810,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2018,15510,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2019,14346,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2020,8623,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2021,6240,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
2022,15000,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Passenger Kilometers-All Island,cbsl
