Date,Value,Category,SubCategory,Source
2000,6080,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2001,7770,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2002,7294,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2003,6642,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2004,8999,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2005,10007,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2006,12668,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2007,15441,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2008,18083,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2009,21528,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2010,21560,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2011,21018,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2012,26117,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2013,30189,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2014,33665,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2015,35825,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2016,40928,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2017,42163,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2018,44103,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2019,43490,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2020,31233,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2021,26421,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
2022,67712,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Revenue,cbsl
