Date,Value,Category,SubCategory,Source
2007,2637,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2008,1180,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2009,739,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2010,2491,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2011,4248,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2012,3095,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2013,1805,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2014,3851,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2015,4140,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2016,2685,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2017,3331,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2018,2957,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2019,1613,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2020,578,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2021,281,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
2022,210,New Vehicle Registrations,New Vehicle Registrations - BUSES,dmtlk
