Date,Value,Category,SubCategory,Source
2007,5193,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2008,2856,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2009,1280,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2010,11712,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2011,33518,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2012,37397,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2013,24603,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2014,20799,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2015,39456,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2016,26887,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2017,16742,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2018,16931,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2019,13459,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2020,9532,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2021,771,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
2022,384,New Vehicle Registrations,New Vehicle Registrations - DUAL PURPOSE VEHICLES,dmtlk
