Date,Value,Category,SubCategory,Source
2010,389,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2011,1224,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2012,1143,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2013,756,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2014,808,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2015,1214,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2016,1328,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2017,1672,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2018,1260,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2019,781,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2020,649,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2021,1093,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
2022,335,New Vehicle Registrations,New Vehicle Registrations - LORRY OTHERS,dmtlk
