Date,Value,Category,SubCategory,Source
2010,292,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2011,495,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2012,299,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2013,149,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2014,163,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2015,210,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2016,334,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2017,429,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2018,303,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2019,177,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2020,137,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2021,299,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
2022,128,New Vehicle Registrations,New Vehicle Registrations - LORRY TRAILERS,dmtlk
