Date,Value,Category,SubCategory,Source
2007,2129,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2008,1775,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2009,1333,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2010,2301,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2011,3121,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2012,3442,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2013,2266,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2014,2012,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2015,2128,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2016,3662,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2017,4228,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2018,2822,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2019,1970,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2020,2277,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2021,4344,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
2022,1653,New Vehicle Registrations,New Vehicle Registrations - L.V.TRAILERS,dmtlk
