Date,Value,Category,SubCategory,Source
2007,22603,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2008,22237,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2009,5762,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2010,23072,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2011,57886,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2012,31546,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2013,28380,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2014,38780,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2015,105628,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2016,45172,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2017,39182,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2018,80776,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2019,38232,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2020,21021,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2021,3495,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
2022,690,New Vehicle Registrations,New Vehicle Registrations - MOTOR CARS,dmtlk
