Date,Value,Category,SubCategory,Source
2007,182508,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2008,155952,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2009,135421,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2010,204811,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2011,253331,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2012,192284,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2013,169280,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2014,272885,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2015,370889,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2016,340129,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2017,344380,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2018,339763,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2019,284301,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2020,151634,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2021,8011,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
2022,3358,New Vehicle Registrations,New Vehicle Registrations - MOTOR CYCLES,dmtlk
