Date,Value,Category,SubCategory,Source
2007,18408,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2008,14038,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2009,8225,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2010,10803,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2011,12446,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2012,10445,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2013,4525,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2014,3851,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2015,5356,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2016,5271,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2017,8689,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2018,7055,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2019,3738,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2020,3000,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2021,2593,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
2022,603,New Vehicle Registrations,New Vehicle Registrations - MOTOR LORRIES,dmtlk
