Date,Value,Category,SubCategory,Source
2007,43068,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2008,44804,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2009,37364,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2010,85648,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2011,138426,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2012,98815,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2013,83673,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2014,79038,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2015,129547,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2016,56945,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2017,23537,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2018,20063,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2019,15490,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2020,7150,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2021,2093,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
2022,17,New Vehicle Registrations,New Vehicle Registrations - MOTOR TRICYCLES,dmtlk
