Date,Value,Category,SubCategory,Source
2010,293,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2011,573,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2012,283,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2013,139,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2014,170,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2015,316,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2016,500,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2017,584,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2018,426,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2019,238,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2020,149,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2021,359,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
2022,72,New Vehicle Registrations,New Vehicle Registrations - PRIME MOVERS,dmtlk
