Date,Value,Category,SubCategory,Source
2010,2143,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2011,2201,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2012,2267,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2013,2559,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2014,2670,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2015,2702,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2016,2820,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2017,2853,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2018,3178,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2019,3464,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2020,3464,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2021,3552,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
2022,3566,Total Vehicle Population,Total Vehicle Population - AMBULANCES,dmtlk
