Date,Value,Category,SubCategory,Source
2007,193380,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2008,196236,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2009,197516,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2010,209228,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2011,242746,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2012,280143,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2013,304746,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2014,325545,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2015,365001,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2016,391888,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2017,408630,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2018,425561,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2019,439020,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2020,448552,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2021,449323,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
2022,449707,Total Vehicle Population,Total Vehicle Population - DUAL PURPOSE VEHICLES,dmtlk
