Date,Value,Category,SubCategory,Source
2010,347,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2011,369,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2012,399,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2013,410,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2014,428,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2015,442,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2016,454,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2017,479,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2018,481,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2019,484,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2020,490,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2021,490,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
2022,491,Total Vehicle Population,Total Vehicle Population - HEARSES,dmtlk
