Date,Value,Category,SubCategory,Source
2010,2299,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2011,3523,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2012,4666,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2013,5422,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2014,6230,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2015,7444,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2016,8772,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2017,10444,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2018,11704,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2019,12485,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2020,13134,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2021,14227,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
2022,14562,Total Vehicle Population,Total Vehicle Population - LORRY OTHERS,dmtlk
