Date,Value,Category,SubCategory,Source
2007,1604648,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2008,1760600,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2009,1896021,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2010,2100832,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2011,2354163,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2012,2546447,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2013,2715727,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2014,2988612,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2015,3359501,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2016,3699630,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2017,4044010,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2018,4383773,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2019,4668074,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2020,4819708,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2021,4827719,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
2022,4831077,Total Vehicle Population,Total Vehicle Population - MOTOR CYCLES,dmtlk
