Date,Value,Category,SubCategory,Source
2010,0,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2011,0,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2012,0,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2013,0,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2014,0,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2015,0,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2016,0,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2017,0,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2018,2,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2019,3,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2020,3,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2021,6,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
2022,6,Total Vehicle Population,Total Vehicle Population - MOTOR HOME,dmtlk
