Date,Value,Category,SubCategory,Source
2007,262584,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2008,276622,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2009,284847,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2010,282033,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2011,294479,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2012,304924,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2013,309449,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2014,313300,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2015,318656,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2016,323927,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2017,332616,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2018,339671,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2019,343409,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2020,346409,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2021,349002,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
2022,349605,Total Vehicle Population,Total Vehicle Population - MOTOR LORRIES,dmtlk
