Date,Value,Category,SubCategory,Source
2010,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2011,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2012,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2013,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2014,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2015,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2016,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2017,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2018,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2019,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2020,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2021,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
2022,958,Total Vehicle Population,Total Vehicle Population - N.A. TRACTORS,dmtlk
