Date,Value,Category,SubCategory,Source
1965,0.45477533,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1970,0.29481116,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1971,0.28291368,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1972,0.39662468,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1973,0.2566317,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1974,0.35640845,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1975,0.25971958,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1976,0.73303783,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1977,0.28218782,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1978,0.70492208,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1979,0.80982137,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1980,0.40875959,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1981,0.96880651,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1982,0.90112275,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1983,1.0250709,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1984,0.65717113,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1985,0.97339636,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1986,0.96404552,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1987,0.99791372,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1988,0.99079108,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1989,0.99565202,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1990,0.97772431,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1991,0.96537924,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1992,0.98116362,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1993,0.99239123,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1994,0.97966713,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1995,0.89450258,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1996,0.97896338,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1997,0.94540632,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1998,0.89031124,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
1999,0.93323314,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2000,0.90968364,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2001,0.47869879,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2002,0.42214456,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2003,0.48848426,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2004,0.56667179,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2005,0.50198936,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2006,0.53202683,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2007,0.43521884,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2008,0.37971941,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2009,0.39142832,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2010,0.49183488,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2011,0.48636806,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2012,0.61661714,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2013,0.51211047,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
2014,0.51275432,IMF - Sri Lanka Data,Mineral fuels lubricants and related materials,imf
