Date,Value,Category,SubCategory,Source
2000,10,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2001,10.5,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2002,11,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2003,11.5,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2004,12.1,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2005,12.3,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2006,12.9,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2007,13.2,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2008,13.6,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2009,14.1,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2010,14.5,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2011,15.3,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2012,15.7,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2013,16.5,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2014,16.9,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2015,17.9,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2016,18.8,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2017,20.1,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2018,20.9,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2019,22.6,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2020,23.9,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2021,25.3,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
2022,26.5,World Bank - Sri Lanka Data,Access to clean fuels and technologies for cooking rural (Pct. of rural population),world_bank
