Date,Value,Category,SubCategory,Source
2000,70.3,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2001,63.6,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2002,80.7,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2003,75,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2004,76.5,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2005,78.1,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2006,82.1,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2007,80,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2008,82.9,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2009,87.1,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2010,85.3,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2011,87.8,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2012,87,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2013,90.2,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2014,92.7,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2015,94.3,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2016,97.5,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2017,97.5,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2018,99.6,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2019,99.8,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2020,100,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2021,100,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2022,100,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
2023,100,World Bank - Sri Lanka Data,Access to electricity (Pct. of population),world_bank
