Date,Value,Category,SubCategory,Source
2000,66.2,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2001,58.7,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2002,78.3,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2003,71.5,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2004,73.2,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2005,75,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2006,79.3,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2007,76.6,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2008,80.3,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2009,85.2,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2010,83,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2011,85.7,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2012,84.7,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2013,88.5,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2014,91.3,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2015,93.2,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2016,97.2,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2017,96.9,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2018,99.5,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2019,99.7,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2020,100,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2021,100,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2022,100,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
2023,100,World Bank - Sri Lanka Data,Access to electricity rural (Pct. of rural population),world_bank
