Date,Value,Category,SubCategory,Source
2000,88.7,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2001,85.3,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2002,91.3,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2003,90.6,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2004,91.3,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2005,92,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2006,94.4,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2007,95.3,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2008,94.2,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2009,95.6,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2010,95.6,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2011,96.8,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2012,97.3,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2013,98,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2014,98.8,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2015,99.6,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2016,99,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2017,100,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2018,100,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2019,100,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2020,100,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2021,100,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2022,100,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
2023,100,World Bank - Sri Lanka Data,Access to electricity urban (Pct. of urban population),world_bank
