Date,Value,Category,SubCategory,Source
1990,20.9643626743665,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
1991,20.5029547651709,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
1992,21.0400707573805,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
1993,22.5554874480938,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
1994,21.3678308329876,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
1995,17.6757981147152,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
1996,18.5477182974257,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
1997,19.3766162187479,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
1998,18.3678501770792,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
1999,18.9034140740268,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2000,17.445718703699,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2001,18.9240843713503,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2002,17.212574842266,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2003,17.4053509785199,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2004,17.3246445695243,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2005,19.2608958033628,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2006,17.6399349652089,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2007,18.4696463102951,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2008,13.0441933468765,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2009,19.1546914522064,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2015,26.5981362182203,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2016,29.7808518113209,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2017,32.0309701516639,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2018,29.3658443971466,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2019,25.9659258718968,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
2020,25.650406093097,World Bank - Sri Lanka Data,Adjusted net savings excluding particulate emission damage (Pct. of GNI),world_bank
