Date,Value,Category,SubCategory,Source
1990,20.456886716032,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
1991,20.0639421526392,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
1992,20.6371421988639,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
1993,22.1595106055509,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
1994,20.986603555813,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
1995,17.2775272000809,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
1996,18.145554957593,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
1997,18.9737842157982,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
1998,18.0066853658545,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
1999,18.5271053103516,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2000,17.0955024089959,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2001,18.5811681162916,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2002,16.8842557492612,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2003,17.0714648585707,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2004,17.0013390159683,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2005,18.8982246823737,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2006,17.2991254260864,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2007,18.1376249469962,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2008,12.6991834647558,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2009,18.8087455181939,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2015,26.2938117244126,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2016,29.4730068542265,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2017,31.727327307835,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2018,29.0647164820609,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2019,25.6511820921615,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
2020,25.321573159814,World Bank - Sri Lanka Data,Adjusted net savings including particulate emission damage (Pct. of GNI),world_bank
