Date,Value,Category,SubCategory,Source
1990,0.507475958334482,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
1991,0.439012612531695,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
1992,0.402928558516669,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
1993,0.395976842542884,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
1994,0.38122727717452,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
1995,0.398270914634334,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
1996,0.402163339832611,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
1997,0.402832002949729,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
1998,0.36116481122469,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
1999,0.376308763675171,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2000,0.350216294703017,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2001,0.342916255058625,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2002,0.328319093004869,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2003,0.333886119949113,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2004,0.323305553555995,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2005,0.362671120989167,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2006,0.340809539122442,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2007,0.332021363298937,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2008,0.34500988212078,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2009,0.3459459340125,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2010,0.338675247253775,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2011,0.323451741018238,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2012,0.312740057995155,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2013,0.301984630648662,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2014,0.289719417147517,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2015,0.304324493807742,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2016,0.307844957094387,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2017,0.303642843828838,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2018,0.301127915085717,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2019,0.314743779735261,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2020,0.328832933283055,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
2021,0.321404139074823,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (Pct. of GNI),world_bank
