Date,Value,Category,SubCategory,Source
1990,40463796.957364,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
1991,39185563.2895042,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
1992,39007032.9568522,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
1993,40943448.2667552,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
1994,44396392.6300481,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
1995,51215696.8370261,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
1996,55103581.1341699,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
1997,60092510.1345508,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
1998,56144456.8449987,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
1999,57849961.1557599,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2000,56091097.4364657,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2001,53042284.3907086,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2002,53467412.97145,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2003,62471608.1908476,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2004,66140699.2950139,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2005,87428387.3599451,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2006,95054515.2181844,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2007,106237580.024739,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2008,137121729.225167,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2009,143847124.856529,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2010,196496046.711993,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2011,217041677.230067,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2012,216520450.850183,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2013,227240200.153279,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2014,233862769.861278,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2015,252950520.159593,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2016,264182001.096382,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2017,279538530.06241,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2018,277326126.511525,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2019,272396846.545248,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2020,273160166.113903,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
2021,279244878.75626,World Bank - Sri Lanka Data,Adjusted savings_ particulate emission damage (current US$),world_bank
