Date,Value,Category,SubCategory,Source
1970,81.985270171636,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1971,81.0924596805203,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1972,79.6091424633156,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1973,79.7476389947818,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1974,81.3743985370976,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1975,77.7414771928349,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1976,78.1441950684323,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1977,79.9546178256754,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1978,80.1764899730123,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1979,79.1873676603999,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1980,78.8591264805708,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1981,78.8920145820635,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1982,76.7059667563554,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1983,76.8143847756898,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1984,78.0453493842907,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1985,77.5484630865486,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1986,76.5029996787609,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1987,73.4291023837755,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1988,75.2548536344086,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1989,72.577242938094,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1990,29.1304347826087,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1991,26.4947888096544,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1992,26.4564404061999,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1993,26.395409494001,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1994,27.3340248962656,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1995,26.8104776579353,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1996,27.0658682634731,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1997,30.7745030843043,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1998,31.4846416382253,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
1999,40.1408450704225,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
2000,49.5448634590377,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
2001,47.568988173456,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
2002,47.6372924648787,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
2003,48.661800486618,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
2004,45.1776649746193,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
2005,48.1308411214953,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
2006,47.6190476190476,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
2007,45.8628841607565,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
2008,49.1266375545852,World Bank - Sri Lanka Data,Agricultural methane emissions (Pct. of total),world_bank
