Date,Value,Category,SubCategory,Source
1990,5347.5375,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
1991,4820.7775,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
1992,4939.93,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
1993,5053.9325,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
1994,5265.0175,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
1995,5207.93,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
1996,4517.2975,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
1997,4485.825,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
1998,3690.05,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
1999,3987.4125,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2000,3814.6875,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2001,3614.2225,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2002,3713.5,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2003,3987.725,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2004,3530.7025,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2005,4092.875,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2006,4083.815,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2007,3862.18,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2008,4495.485,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2009,4229.76,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2010,4647.4475,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2011,4725.775,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2012,4740.1125,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2013,4974.14,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2014,3999.5325,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2015,4968.2575,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2016,4490.8025,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2017,3621.275,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2018,4447.7675,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2019,4180.9275,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
2020,4542.8075,World Bank - Sri Lanka Data,Agricultural methane emissions (thousand metric tons of CO2 equivalent),world_bank
