Date,Value,Category,SubCategory,Source
1970,104600,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1971,116000,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1972,116000,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1973,108500,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1974,107700,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1975,117300,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1976,127700,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1977,181000,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1978,100000,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1979,105300,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1980,235000,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1981,405200,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1982,572700,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1983,616500,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1984,681300,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1985,698600,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1986,611400,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1987,586900,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1988,694300,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1989,744500,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1990,891800,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1991,892700,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1992,1045600,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1993,993800,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1994,1066800,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1995,1155700,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1996,1170700,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1997,1231900,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1998,1212500,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
1999,1421500,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2000,1755567,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2001,1718331,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2002,1740807,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2003,1957606,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2004,2412889,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2005,2817778,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2006,3100832,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2007,3206766,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2008,2951506,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2009,2417713,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2010,3008322.69188759,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2011,3665394,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2012,4616417,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2013,4793393.4,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2014,4756131,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2015,4911730,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2016,5284585,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2017,5403577,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2018,5882376,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2019,5582446,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2020,1240391,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
2021,871685,World Bank - Sri Lanka Data,Air transport passengers carried,world_bank
