Date,Value,Category,SubCategory,Source
1970,4400,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1971,5200,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1972,4400,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1973,2900,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1974,4200,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1975,4400,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1976,4000,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1977,5300,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1978,3100,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1979,1700,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1980,3800,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1981,4100,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1982,3500,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1983,5400,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1984,5900,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1985,6700,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1986,5800,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1987,5800,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1988,6100,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1989,6900,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1990,7900,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1991,8200,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1992,9100,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1993,8900,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1994,8900,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1995,8900,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1996,8800,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1997,8800,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1998,9300,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
1999,10100,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2000,5206,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2001,11386,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2002,10480,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2003,12603,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2004,18699,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2005,19712,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2006,20979,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2007,21020,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2008,20512,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2009,16632,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2010,20921,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2011,26052,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2012,31373,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2013,32636.4,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2014,37517,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2015,37598,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2016,40711,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2017,41012,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2018,34425,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2019,33050,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2020,10045,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
2021,11210,World Bank - Sri Lanka Data,Air transport registered carrier departures worldwide,world_bank
