Date,Value,Category,SubCategory,Source
1990,4.9,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
1991,4.78,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
1992,4.34,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
1993,5.39,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
1994,6.04,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
1995,6.37,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
1996,4.16,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
1997,4.26,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
1998,4.75,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
1999,4.75,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2000,3.31,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2001,3.33,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2002,2.84,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2003,3.28,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2004,2.91,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2005,3.31,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2006,4.4,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2007,3.68,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2008,3.95,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2009,3.66,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2010,5.03,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2011,4.1,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2012,2.91,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2013,6.56,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2014,4.13,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2015,5.18,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2016,3.43,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2017,3.53,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2018,5.41,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2019,4.11,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2020,4.39,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2021,6.2,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
2022,6.72,World Bank - Sri Lanka Data,Alternative and nuclear energy (Pct. of total energy use),world_bank
