Date,Value,Category,SubCategory,Source
1960,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1961,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1962,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1963,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1964,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1965,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1966,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1967,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1968,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1969,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1970,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1971,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1972,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1973,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1974,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1975,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1976,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1977,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1978,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1979,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1980,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1981,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1982,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1983,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1984,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1985,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1986,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1987,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1988,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1989,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1990,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1991,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
1992,0,World Bank - Sri Lanka Data,CO2 emissions from gaseous fuel consumption (Pct. of total),world_bank
