Date,Value,Category,SubCategory,Source
1960,1525.472,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1961,1921.508,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1962,2141.528,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1963,2108.525,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1964,1767.494,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1965,2244.204,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1966,2537.564,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1967,2482.559,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1968,3017.941,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1969,4118.041,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1970,3377.307,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1971,2970.27,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1972,3347.971,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1973,3461.648,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1974,2680.577,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1975,2691.578,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1976,2581.568,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1977,2742.916,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1978,3135.285,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1979,3527.654,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1980,3120.617,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1981,3707.337,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1982,4088.705,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1983,4554.414,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1984,3626.663,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1985,3652.332,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1986,3402.976,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1987,3777.01,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1988,3292.966,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1989,3281.965,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1990,3670.667,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1991,3971.361,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1992,4774.434,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1993,4701.094,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1994,5056.793,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1995,5452.829,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1996,6593.266,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1997,7128.648,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1998,7385.338,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
1999,8122.405,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2000,9732.218,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2001,9886.232,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2002,10546.292,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2003,10267.6,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2004,11371.367,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2005,11122.011,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2006,10949.662,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2007,11345.698,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2008,11089.008,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2009,12005.758,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2010,12170.773,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2011,13014.183,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2012,13113.192,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2013,11932.418,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2014,13102.191,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2015,13751.25,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
2016,16486.832,World Bank - Sri Lanka Data,CO2 emissions from liquid fuel consumption (kt),world_bank
