Date,Value,Category,SubCategory,Source
1960,689.396,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1961,374.034,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1962,377.701,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1963,388.702,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1964,469.376,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1965,370.367,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1966,84.341,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1967,370.367,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1968,113.677,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1969,62.339,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1970,58.672,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1971,36.67,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1972,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1973,22.002,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1974,22.002,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1975,11.001,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1976,11.001,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1977,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1978,29.336,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1979,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1980,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1981,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1982,88.008,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1983,77.007,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1984,7.334,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1985,7.334,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1986,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1987,0,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1988,0,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1989,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1990,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1991,7.334,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1992,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1993,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1994,7.334,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1995,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1996,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1997,7.334,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1998,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
1999,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2000,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2001,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2002,3.667,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2003,231.021,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2004,231.021,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2005,231.021,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2006,227.354,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2007,161.348,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2008,220.02,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2009,223.687,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2010,227.354,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2011,1133.103,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2012,1921.508,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2013,2020.517,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2014,3883.353,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2015,5221.808,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
2016,5529.836,World Bank - Sri Lanka Data,CO2 emissions from solid fuel consumption (kt),world_bank
