Date,Value,Category,SubCategory,Source
1990,0.168976127476339,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
1991,0.167696848433679,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
1992,0.21152961263215,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
1993,0.191956688041055,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
1994,0.205895031084345,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
1995,0.196839580720866,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
1996,0.272409969273829,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
1997,0.255557933986679,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
1998,0.251929822207156,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
1999,0.26645569592051,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2000,0.289295070454478,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2001,0.291660946987823,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2002,0.294430953921524,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2003,0.302993975903743,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2004,0.297901910796585,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2005,0.304722215126273,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2006,0.251053178001666,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2007,0.257563723179386,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2008,0.229131948476267,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2009,0.212329600253676,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2010,0.209053106250101,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2011,0.226788957552656,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2012,0.236271626213019,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2013,0.18811590319562,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2014,0.213676112063543,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2015,0.225988772525796,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2016,0.259018917884469,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2017,0.243015478364831,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2018,0.222642625059944,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2019,0.241009811593471,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
2020,0.235636465138235,World Bank - Sri Lanka Data,CO2 emissions (kg per 2015 US$ of GDP),world_bank
