Date,Value,Category,SubCategory,Source
1990,0.0928915763383649,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
1991,0.0891726644968821,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
1992,0.109974542031951,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
1993,0.0974877741848009,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
1994,0.102380521057718,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
1995,0.0958676860718648,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
1996,0.13028781670992,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
1997,0.120155826769321,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
1998,0.117133571339023,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
1999,0.122158642510958,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2000,0.129691756251234,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2001,0.127873079805455,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2002,0.127112218480805,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2003,0.128276479106352,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2004,0.122818002778747,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2005,0.121810540867675,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2006,0.097354471565381,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2007,0.0972445522434207,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2008,0.084874695639996,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2009,0.0781686669994223,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2010,0.0760383491367921,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2011,0.0808219200645335,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2012,0.0803818745797425,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2013,0.0623756094215594,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2014,0.0716883272111603,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2015,0.0750414036288293,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2016,0.083522004395025,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2017,0.0792522333098554,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2018,0.070597770343257,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2019,0.0761376077021461,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
2020,0.0770180509719478,World Bank - Sri Lanka Data,CO2 emissions (kg per PPP $ of GDP),world_bank
