Date,Value,Category,SubCategory,Source
1990,3839.2,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
1991,3985.4,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
1992,5248.3,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
1993,5091.3,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
1994,5766.8,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
1995,5816.4,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
1996,8355.3,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
1997,8340.5,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
1998,8608.4,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
1999,9496.3,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2000,10928.9,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2001,10848,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2002,11385.2,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2003,12412.3,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2004,12868.2,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2005,13984.4,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2006,12404.9,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2007,13591.6,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2008,12810.7,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2009,12291.4,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2010,13071.8,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2011,15410.2,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2012,17440.4,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2013,14448.4,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2014,17458.3,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2015,19240.9,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2016,23167.6,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2017,23140.5,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2018,21690.3,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2019,23427.9,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
2020,21846.3,World Bank - Sri Lanka Data,CO2 emissions (kt),world_bank
