Date,Value,Category,SubCategory,Source
1970,0.1732,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1971,0.1732,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1972,0.1732,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1973,0.1732,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1974,0.2455,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1975,0.1241,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1976,0.17,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1977,0.1801,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1978,0.2385,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1979,0.2247,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1980,0.2374,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1981,0.1933,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1982,0.1787,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1983,0.2026,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1984,0.2356,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1985,0.2329,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1986,0.229,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1987,0.2483,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1988,0.2698,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1989,0.2525,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1990,0.232,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1991,0.2483,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1992,0.2712,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1993,0.297,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1994,0.2964,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1995,0.2752,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1996,0.292,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1997,0.2736,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
1998,0.3027,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),world_bank
