Date,Value,Category,SubCategory,Source
1970,0.8503,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1971,0.8503,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1972,0.8534,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1973,0.866,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1974,0.6738,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1975,0.6486,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1976,0.6295,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1977,0.6923,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1978,0.7644,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1979,0.7359,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1980,0.5846,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1981,0.5533,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1982,0.6444,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1983,0.6096,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1984,0.5273,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1985,0.5584,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1986,0.5422,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1987,0.5385,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1988,0.573,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1989,0.5967,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1990,0.6274,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1991,0.6204,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1992,0.7265,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1993,0.7567,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1994,0.8367,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1995,0.9162,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1996,0.9576,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1997,0.9758,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1998,1.0585,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
1999,1.1475,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2000,1.2408,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2001,1.2509,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2002,1.2667,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2003,1.1409,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2004,1.1746,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2005,1.2352,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2006,1.2259,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2007,1.1254,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2008,0.9931,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2009,0.921,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2010,1.0505,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2011,1.096,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2012,1.0557,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
2013,0.9208,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),world_bank
