Date,Value,Category,SubCategory,Source
1970,0.1887,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1971,0.2189,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1972,0.218,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1973,0.2378,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1974,0.264,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1975,0.2246,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1976,0.197,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1977,0.2098,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1978,0.3161,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1979,0.3591,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1980,0.3458,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1981,0.3824,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1982,0.536,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1983,0.3897,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1984,0.3647,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1985,0.3008,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1986,0.3134,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1987,0.346,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1988,0.3529,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
1989,0.3351,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),world_bank
