Date,Value,Category,SubCategory,Source
1970,0.0625,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1971,0.0625,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1972,0.1282,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1973,0.3001,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1974,0.0719,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1975,0.0438,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1976,0.0625,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1977,0.0474,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1978,0.0284,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1979,0.1298,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1980,0.2875,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1981,0.3208,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1982,0.5137,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1983,0.9743,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1984,0.2113,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1985,0.0375,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1986,0.0062,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1987,0.5061,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1988,0.1836,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1989,0.0438,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1990,0.0062,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1991,0.1865,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1992,0.6811,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1993,0.2973,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1994,0.2831,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1995,0.2461,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1996,1.062,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1997,1.3646,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1998,1.1713,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1999,1.4284,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2000,3.1679,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2001,2.9428,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2002,3.369,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2003,3.808,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2004,4.2697,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2005,4.4862,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2006,3.2186,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2007,3.9427,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2008,3.868,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2009,4.0763,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2010,3.3748,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2011,5.1283,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2012,6.454,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2013,4.0195,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2014,6.7688,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2015,6.7413,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2016,8.6306,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2017,9.4412,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2018,8.1035,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2019,9.6545,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2020,9.4368,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2021,8.278,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2022,7.5656,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
2023,7.1113,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),world_bank
