Date,Value,Category,SubCategory,Source
1970,1.3546,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1971,1.3546,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1972,1.6987,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1973,1.6354,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1974,1.4551,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1975,1.3116,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1976,1.432,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1977,1.5566,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1978,1.8338,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1979,2.051,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1980,2.0816,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1981,2.0781,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1982,2.1965,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1983,2.0848,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1984,2.334,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1985,2.4363,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1986,2.4483,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1987,2.5083,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1988,2.5324,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1989,2.4031,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1990,2.4958,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1991,2.5136,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1992,2.7984,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1993,2.9934,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1994,3.484,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1995,3.6963,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1996,5.0748,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1997,4.6669,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1998,4.8766,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
1999,5.402,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2000,5.1564,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2001,5.2172,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2002,5.315,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2003,5.6578,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2004,5.8438,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2005,6.3153,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2006,5.988,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2007,6.5694,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2008,6.0217,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2009,5.499,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2010,6.9208,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2011,7.3827,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2012,7.9824,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2013,7.7239,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2014,8.0256,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2015,9.2297,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2016,11.2888,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2017,10.4485,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2018,9.9507,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2019,10.1975,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2020,8.89,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2021,10.1949,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2022,8.5955,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
2023,9.4371,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),world_bank
