Date,Value,Category,SubCategory,Source
1970,3.1198,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1971,3.15,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1972,3.7821,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1973,3.9448,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1974,3.3965,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1975,2.9861,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1976,3.0531,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1977,3.295,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1978,3.8925,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1979,4.2092,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1980,4.2068,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1981,4.3351,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1982,4.9353,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1983,5.0378,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1984,4.4179,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1985,4.0188,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1986,3.9761,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1987,4.5593,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1988,4.3893,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1989,4.1747,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1990,4.2373,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1991,4.4238,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1992,5.5101,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1993,5.3943,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1994,6.2212,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1995,6.2415,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1996,8.8088,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1997,8.786,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1998,9.073,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1999,10.0261,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2000,11.4648,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2001,11.3723,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2002,11.8969,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2003,12.8573,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2004,13.2768,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2005,14.4281,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2006,13.1925,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2007,14.1224,World Bank - Sri Lanka Data,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),world_bank
