Date,Value,Category,SubCategory,Source
1971,58.556825216242,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1972,65.1874960233676,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1973,67.4531556592202,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1974,68.0159988660493,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1975,72.0349215852643,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1976,73.7129052669574,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1977,75.7329278300075,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1978,82.3193195756181,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1979,90.4001985237744,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1980,95.9726896073498,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1981,101.659574338448,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1982,111.405000220128,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1983,117.683036110562,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1984,122.135545847456,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1985,133.362034369963,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1986,142.582385030159,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1987,143.561027195799,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1988,148.209227644585,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1989,145.674474354861,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1990,160.465172881043,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1991,167.826439419754,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1992,175.993190628703,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1993,192.177596532534,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1994,209.13680678717,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1995,224.093871647502,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1996,209.773595312778,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1997,232.62568362907,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1998,248.763134744601,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
1999,259.122180198811,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2000,286.942647856581,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2001,280.60706225732,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2002,291.733431782848,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2003,314.361997764481,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2004,342.001945976138,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2005,386.812292756163,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2006,390.076635146568,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2007,406.977269050769,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2008,413.051716828302,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2009,412.161336954058,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2010,446.092260059814,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2011,487.551839569313,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2012,505.870296726539,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2013,525.722613553558,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2014,531.090576571374,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2015,584.501669051025,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2016,626.479324814937,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2017,666.992961357386,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2018,652.099676972773,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2019,679.264321423657,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2020,682.604133400246,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2021,713.666726846001,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
2022,684.05392002164,World Bank - Sri Lanka Data,Electric power consumption (kWh per capita),world_bank
