Date,Value,Category,SubCategory,Source
1990,16.6984126984127,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
1991,18.1225940183595,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
1992,16.7796610169492,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
1993,17.7682834883136,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
1994,17.6430362434465,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
1995,18.0341524364848,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
1996,17.0860927152318,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
1997,17.4927113702624,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
1998,18.5993313390815,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
1999,20.617723156533,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2000,20.9594517418618,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2001,18.8910190237428,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2002,18.4704388316636,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2003,18.7143597719025,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2004,16.5755919854281,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2005,16.1304161304161,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2006,16.4315789473684,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2007,15.7660842339158,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2008,14.8325837081459,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2009,14.3300620869217,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2010,13.7672437737247,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2011,12.1375879224567,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2012,10.0159650449542,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2013,9.98918739083423,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2014,11.4437043575957,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2015,7.01714459110909,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2016,6.97983758050966,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2017,5.46379492600423,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2018,9.05521946196422,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2019,8.47290031518448,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2020,9.13397303534556,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2021,9.26202226558017,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
2022,8.4640444015444,World Bank - Sri Lanka Data,Electric power transmission and distribution losses (Pct. of output),world_bank
