Date,Value,Category,SubCategory,Source
1990,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
1991,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
1992,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
1993,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
1994,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
1995,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
1996,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
1997,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
1998,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
1999,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2000,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2001,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2002,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2003,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2004,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2005,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2006,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2007,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2008,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2009,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2010,0,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2011,8.90375707668554,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2012,11.797327955634,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2013,12.2182483573151,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2014,25.6961720568173,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2015,33.7050523441056,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2016,35.3332399887987,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2017,33.7143234672304,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2018,30.6603166430686,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2019,33.1314504665966,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2020,38.6493380298798,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2021,35.0625502123264,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
2022,34.5620173745174,World Bank - Sri Lanka Data,Electricity production from coal sources (Pct. of total),world_bank
