Date,Value,Category,SubCategory,Source
1990,0.158730158730159,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
1991,7.7287533313592,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
1992,18.0790960451977,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
1993,4.59914551394823,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
1994,6.79279689993162,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
1995,7.28862973760933,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
1996,28.2119205298013,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
1997,33.002915451895,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
1998,31.1103290515573,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
1999,32.519404915912,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2000,54.1976013706453,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2001,53.9890871552868,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2002,61.8174121631156,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2003,57.1021254536029,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2004,63.8615664845173,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2005,62.7734877734878,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2006,51,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2007,59.9333400666599,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2008,58.4607696151924,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2009,60.7049869817745,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2010,46.8845477270623,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2011,50.2487562189055,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2012,58.9614318124527,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2013,27.9048490393413,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2014,35.1015167322045,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2015,17.8197542102868,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2016,32.0358443013162,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2017,35.9341966173361,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2018,24.1729952374823,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2019,32.4022001112416,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2020,26.0536863840641,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2021,16.0277745896936,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
2022,15.1484073359073,World Bank - Sri Lanka Data,Electricity production from oil sources (Pct. of total),world_bank
