Date,Value,Category,SubCategory,Source
1990,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
1991,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
1992,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
1993,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
1994,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
1995,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
1996,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
1997,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
1998,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
1999,0.0485122897800776,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2000,0.16747572815534,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2001,0.195251437841026,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2002,0.195569352335262,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2003,0.367418351477449,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2004,0.182270795385549,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2005,0.215894465894466,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2006,0.221368421052632,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2007,0.2002827997172,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2008,0.314042978510745,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2009,0.433907470458642,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2010,0.876122581242478,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2011,1.15697375193001,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2012,1.60969666414587,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2013,2.24028944522998,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2014,16.2444426611026,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2015,3.1935214686694,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2016,3.07266872024643,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2017,3.45124207188161,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2018,3.86002059467113,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2019,4.65626351894197,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2020,4.9782582290781,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
2021,7.77126133363939,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (Pct. of total),world_bank
