Date,Value,Category,SubCategory,Source
1990,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
1991,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
1992,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
1993,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
1994,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
1995,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
1996,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
1997,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
1998,0,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
1999,3000000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2000,11730000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2001,13240000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2002,13860000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2003,28350000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2004,15010000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2005,20130000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2006,21030000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2007,19830000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2008,31420000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2009,43330000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2010,94630000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2011,134880000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2012,191570000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2013,269350000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2014,2024220000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2015,420970000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2016,438900000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2017,522380000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2018,599770000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2019,753430000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2020,819720000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
2021,1354220000,World Bank - Sri Lanka Data,Electricity production from renewable sources excluding hydroelectric (kWh),world_bank
