Date,Value,Category,SubCategory,Source
1970,4.53135996453821,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1971,4.69068282374643,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1972,5.03664062050934,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1973,4.90544692960477,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1974,4.44122431352728,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1975,5.24415168313838,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1976,5.11076832461166,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1977,4.61462935380872,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1978,4.5100336793852,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1979,4.68623308215732,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1980,5.13249433834381,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1981,5.0825351689202,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1982,5.54244258449713,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1983,5.46375880936865,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1984,5.0150739530448,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1985,5.02272339955399,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1986,5.24418103167691,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1987,5.91394733149707,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1988,5.19800564798258,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1989,5.71774014170236,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1990,8.80434782608696,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1991,9.32528798683489,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1992,9.51362907536077,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1993,9.70266040688576,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1994,9.95850622406639,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1995,10.1694915254237,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1996,11.2574850299401,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1997,12.1315969842358,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1998,14.2491467576792,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
1999,15.6941649899396,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
2000,18.9856957087126,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
2001,20.1051248357424,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
2002,20.5619412515964,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
2003,20.5596107055961,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
2004,22.3350253807107,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
2005,21.4953271028037,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
2006,21.8350754936121,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
2007,22.5768321513002,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
2008,21.2882096069869,World Bank - Sri Lanka Data,Energy related methane emissions (Pct. of total),world_bank
