Date,Value,Category,SubCategory,Source
1990,73.9598098862232,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
1991,71.776245517283,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
1992,70.5465594031169,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
1993,69.5733038536481,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
1994,63.2666784333972,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
1995,61.9074607855819,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
1996,66.7421036983407,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
1997,65.003626490352,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
1998,63.1155228060841,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
1999,64.6187851158673,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2000,67.1406322715689,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2001,65.9255837258012,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2002,64.579298282046,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2003,64.5586604198776,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2004,62.043609165874,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2005,59.7435973112462,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2006,55.9932889535295,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2007,53.456537975614,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2008,49.1333340687551,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2009,48.1635326919048,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2010,47.5266904179949,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2011,44.4511370850341,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2012,42.0979843270128,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2013,37.271474629837,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2014,37.6331727997525,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2015,37.6204828319521,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2016,39.1844165934976,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2017,35.2851051690162,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2018,34.4515792229785,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2019,35.7592065307939,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2020,36.8027071535451,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2021,36.8197702534956,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
2022,35.7701334633254,World Bank - Sri Lanka Data,Energy use (kg of oil equivalent) per $1 000 GDP (constant 2021 PPP),world_bank
