Date,Value,Category,SubCategory,Source
1990,0.0001,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
1991,0.0007,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
1992,0.001,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
1993,0.0017,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
1994,0.0039,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
1995,0.0067,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
1996,0.0106,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
1997,0.0146,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
1998,0.0198,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
1999,0.0289,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2000,0.0525,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2001,0.0719,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2002,0.0905,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2003,0.1118,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2004,0.1334,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2005,0.1593,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2006,0.1681,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2007,0.1717,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2008,0.1785,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2009,0.1845,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2010,0.1835,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2011,0.1847,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2012,0.1884,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2013,0.1936,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2014,0.211,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2015,0.2332,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2016,0.266,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2017,0.2985,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2018,0.3381,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2019,0.3731,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2020,0.4088,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2021,0.4455,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2022,0.4813,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
2023,0.5174,World Bank - Sri Lanka Data,F-gases emissions from Industrial Processes (Mt CO2e),world_bank
