Date,Value,Category,SubCategory,Source
1990,24.11,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
1991,25.13,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
1992,24.79,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
1993,29.8,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
1994,31.69,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
1995,33.06,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
1996,37.55,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
1997,37.67,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
1998,38.92,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
1999,39.83,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2000,43.02,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2001,43.35,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2002,44.58,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2003,46.37,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2004,45.79,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2005,45.29,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2006,43.44,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2007,45.38,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2008,44.27,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2009,44.21,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2010,43.17,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2011,51.83,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2012,55.22,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2013,48.79,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2014,53.73,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2015,55.19,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2016,61.56,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2017,60.69,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2018,58.72,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2019,60.51,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2020,58.95,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2021,58.53,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
2022,53.93,World Bank - Sri Lanka Data,Fossil fuel energy consumption (Pct. of total),world_bank
