Date,Value,Category,SubCategory,Source
1990,7.49152723028198,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
1991,7.98048982458795,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
1992,8.30463028090881,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
1993,8.62040349671751,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
1994,9.68212364688474,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
1995,10.1021618783389,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
1996,9.54193442730595,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
1997,9.96607324443029,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
1998,10.3795646843453,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
1999,10.2815632177291,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2000,10.1195304996977,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2001,10.5380996472824,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2002,10.9249629866699,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2003,11.1442175392223,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2004,11.9077945531492,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2005,12.7539586475091,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2006,14.0278453702223,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2007,15.0916148393394,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2008,16.7358706833558,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2009,17.1781594850834,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2010,17.6199025172041,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2011,19.2276848206361,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2012,21.267148650865,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2013,24.6462734649376,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2014,24.1242499815303,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2015,24.382524975978,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2016,24.1065088663892,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2017,26.4696463434261,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2018,27.882089880163,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2019,26.9627851555333,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2020,25.321377507364,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2021,27.1593221010135,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
2022,29.9494216212664,World Bank - Sri Lanka Data,GDP per unit of energy use (PPP $ per kg of oil equivalent),world_bank
