Date,Value,Category,SubCategory,Source
1990,13.5208568212704,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
1991,13.9321859592003,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
1992,14.1750357276221,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
1993,14.3733292025856,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
1994,15.8061087568037,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
1995,16.1531419203822,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
1996,14.9830458524319,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
1997,15.3837570915897,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
1998,15.8439628722144,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
1999,15.4753760567753,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2000,14.894110558197,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2001,15.1686180612252,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2002,15.4848384327833,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2003,15.4897885658746,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2004,16.1176954958647,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2005,16.7381953046834,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2006,17.859283115695,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2007,18.7067856967502,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2008,20.3527812421734,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2009,20.7625965976552,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2010,21.0408086741376,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2011,22.4966123608271,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2012,23.7541064254313,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2013,26.8301699874109,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2014,26.5723011270147,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2015,26.5812643731057,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2016,25.5203493361681,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2017,28.3405701983878,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2018,29.0262456048175,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2019,27.9648263207086,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2020,27.1719141700062,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2021,27.1593221010135,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
2022,27.9562837255077,World Bank - Sri Lanka Data,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),world_bank
