Date,Value,Category,SubCategory,Source
1995,21700000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
1996,63000000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
1997,16000000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
1999,77300000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2001,136500000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2002,40750000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2003,20780000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2004,80800000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2005,64100000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2006,1000000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2007,46000000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2008,45650000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2009,41700000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2010,684400000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2011,116960000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2012,354900000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2014,13585000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
2023,8320000,World Bank - Sri Lanka Data,Investment in energy with private participation (current US$),world_bank
