Date,Value,Category,SubCategory,Source
1970,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1971,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1972,0.0001,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1973,0.0001,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1974,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1975,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1976,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1977,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1978,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1979,0.0001,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1980,0.0003,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1981,0.0003,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1982,0.0005,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1983,0.001,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1984,0.0002,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1985,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1986,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1987,0.0005,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1988,0.0002,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1989,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1990,0,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1991,0.0002,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1992,0.0007,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1993,0.0003,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1994,0.0003,World Bank - Sri Lanka Data,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),world_bank
