Date,Value,Category,SubCategory,Source
1970,0.0065,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1971,0.0068,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1972,0.0085,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1973,0.0081,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1974,0.0061,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1975,0.0055,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1976,0.0061,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1977,0.0066,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1978,0.0081,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1979,0.0084,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1980,0.0086,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1981,0.0091,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1982,0.01,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1983,0.0106,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1984,0.0115,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1985,0.0123,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1986,0.013,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
1987,0.014,World Bank - Sri Lanka Data,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),world_bank
