Date,Value,Category,SubCategory,Source
1970,1.7607,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1971,2.0076,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1972,2.0569,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1973,2.1059,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1974,2.1554,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1975,2.2058,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1976,2.2546,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1977,2.3036,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1978,2.353,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1979,2.4018,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1980,2.4503,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1981,2.4898,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1982,2.5554,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1983,2.5855,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1984,2.6237,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1985,2.6392,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1986,2.6685,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1987,2.7043,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1988,2.7405,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1989,2.7768,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1990,2.8117,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1991,2.8651,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1992,2.9153,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1993,2.9842,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1994,3.0449,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1995,3.1016,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1996,3.144,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1997,3.1983,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1998,3.2437,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
1999,3.2855,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2000,3.3391,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2001,3.3521,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2002,3.3935,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2003,3.4559,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2004,3.5175,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2005,3.5829,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2006,3.6561,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2007,3.7271,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2008,3.7912,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2009,3.837,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2010,3.911,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2011,3.9944,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2012,4.0862,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2013,4.1383,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2014,4.1949,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2015,4.2552,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2016,4.3249,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2017,4.3877,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2018,4.447,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2019,4.5074,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2020,4.5672,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2021,4.6311,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2022,4.6943,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
2023,4.7557,World Bank - Sri Lanka Data,Methane (CH4) emissions from Waste (Mt CO2e),world_bank
