Date,Value,Category,SubCategory,Source
1991,-6.1671987488529,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
1992,-6.5943724230635,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
1993,-4.10112577388877,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
1994,-0.372242112473997,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
1995,-1.63825304708605,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
1996,-14.8412154738978,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
1997,-14.4308443950419,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
1998,-18.6282619653866,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
1999,-14.0592485362354,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2000,-16.4529721206168,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2001,-19.8335250552547,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2002,-17.6724527911696,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2003,-12.7221496981995,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2004,-21.0542982331425,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2005,-10.6444441572206,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2006,-10.405976553917,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2007,-14.271219739172,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2008,-1.66410319378563,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2009,-7.39314195608061,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2010,0.604247179102724,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2011,0.308262999392506,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2012,0.274657808683054,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2013,5.43499334358724,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2014,-10.3840039292223,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2015,5.75359640165958,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2016,1.0094482286187,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2017,-15.7873308431025,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2018,-2.5326681228916,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2019,-6.43604027452857,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2020,-0.262378989000767,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2021,3.44711706238934,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2022,2.95531802142976,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
2023,4.16316612596774,World Bank - Sri Lanka Data,Methane (CH4) emissions (total) excluding LULUCF (Pct. change from 1990),world_bank
